id_kelurahan,nama_kelurahan,latitude,longitude,adm4,adm2,nama_kota
3501092007,Ploso,-8.0232040677,111.3149762069,35.01.09.2007,3501,Kabupaten Pacitan
3501092008,Tegalombo,-8.0576596916,111.2979584285,35.01.09.2008,3501,Kabupaten Pacitan
3501092009,Kemuning,-8.0447056395,111.2679524663,35.01.09.2009,3501,Kabupaten Pacitan
3501092010,Tahunan,-7.9867903385,111.3323787093,35.01.09.2010,3501,Kabupaten Pacitan
3501092011,Tahunan Baru,-8.0157247919,111.3382392003,35.01.09.2011,3501,Kabupaten Pacitan
3501102001,Jetak,-8.2391302249,111.2458282615,35.01.10.2001,3501,Kabupaten Pacitan
3501102002,Nglaran,-8.2207972784,111.2341129423,35.01.10.2002,3501,Kabupaten Pacitan
3501102003,Wonoanti,-8.1932273367,111.2282020272,35.01.10.2003,3501,Kabupaten Pacitan
3501102004,Padi,-8.2043919111,111.2716372006,35.01.10.2004,3501,Kabupaten Pacitan
3501102005,Kluwih,-8.1901324981,111.2957024967,35.01.10.2005,3501,Kabupaten Pacitan
3501102006,Bungur,-8.1756310831,111.2791547702,35.01.10.2006,3501,Kabupaten Pacitan
3501102007,Tulakan,-8.1768037864,111.2640696261,35.01.10.2007,3501,Kabupaten Pacitan
3501102008,Jatigunung,-8.1706266353,111.2411878541,35.01.10.2008,3501,Kabupaten Pacitan
3501102009,Gasang,-8.1469456209,111.2441675523,35.01.10.2009,3501,Kabupaten Pacitan
3501102010,Kalikuning,-8.1385739091,111.2158764569,35.01.10.2010,3501,Kabupaten Pacitan
3501102011,Ngile,-8.1284596446,111.2564302902,35.01.10.2011,3501,Kabupaten Pacitan
3501102012,Bubakan,-8.1372592145,111.2731624584,35.01.10.2012,3501,Kabupaten Pacitan
3501102013,Losari,-8.1507741203,111.2818818459,35.01.10.2013,3501,Kabupaten Pacitan
3501102014,Ngumbul,-8.1552938888,111.3056745711,35.01.10.2014,3501,Kabupaten Pacitan
3501102015,Wonosidi,-8.1451977283,111.3266691952,35.01.10.2015,3501,Kabupaten Pacitan
3501102016,Ketro,-8.1120937417,111.3338999409,35.01.10.2016,3501,Kabupaten Pacitan
3501102017,Ketro Harjo,0.0,0.0,35.01.10.2017,3501,Kabupaten Pacitan
3501112001,Sidomulyo,-8.2398823906,111.2791346586,35.01.11.2001,3501,Kabupaten Pacitan
3501112002,Hadiwarno,-8.2527080659,111.3130120945,35.01.11.2002,3501,Kabupaten Pacitan
3501112003,Tanjungpuro,-8.2307061749,111.3190466464,35.01.11.2003,3501,Kabupaten Pacitan
3501112004,Hadiluwih,-8.2366060709,111.3030567976,35.01.11.2004,3501,Kabupaten Pacitan
3501112005,Pagerejo,-8.2141307835,111.3004332268,35.01.11.2005,3501,Kabupaten Pacitan
3501112006,Wiyoro,-8.2192441146,111.3239651751,35.01.11.2006,3501,Kabupaten Pacitan
3501112007,Ngadirojo,-8.2120572781,111.3300444438,35.01.11.2007,3501,Kabupaten Pacitan
3501112008,Bogoharjo,-8.2039683947,111.3483885186,35.01.11.2008,3501,Kabupaten Pacitan
3501112009,Cokrokembang,-8.2013950443,111.3229807865,35.01.11.2009,3501,Kabupaten Pacitan
3501112010,Bodag,-8.1874661409,111.3108019432,35.01.11.2010,3501,Kabupaten Pacitan
3501112011,Tanjunglor,-8.1764831665,111.3207799198,35.01.11.2011,3501,Kabupaten Pacitan
3501112012,Nogosari,-8.1761992077,111.3396977861,35.01.11.2012,3501,Kabupaten Pacitan
3501112013,Cangkring,-8.1908113213,111.3370113594,35.01.11.2013,3501,Kabupaten Pacitan
3501112014,Wonodadi Wetan,-8.1886811762,111.3616792615,35.01.11.2014,3501,Kabupaten Pacitan
3501112015,Wonodadi Kulon,-8.1748600539,111.3604119156,35.01.11.2015,3501,Kabupaten Pacitan
3501112016,Wonokarto,-8.1478873668,111.3482798336,35.01.11.2016,3501,Kabupaten Pacitan
3501112017,Wonosobo,-8.1519363852,111.3646301901,35.01.11.2017,3501,Kabupaten Pacitan
3501112018,Wonoasri,-8.1377854885,111.3686209245,35.01.11.2018,3501,Kabupaten Pacitan
3501122001,Pagerkidul,-8.2461704855,111.3406576629,35.01.12.2001,3501,Kabupaten Pacitan
3501122002,Pagerlor,-8.2333123597,111.3537125941,35.01.12.2002,3501,Kabupaten Pacitan
3501122003,Sukorejo,-8.2452469978,111.3733683967,35.01.12.2003,3501,Kabupaten Pacitan
3501122004,Sudimoro,-8.215734446,111.3984052238,35.01.12.2004,3501,Kabupaten Pacitan
3501122005,Ketanggung,-8.1871847443,111.3857147663,35.01.12.2005,3501,Kabupaten Pacitan
3501122006,Klepu,-8.1823401248,111.4120847872,35.01.12.2006,3501,Kabupaten Pacitan
3501122007,Sembowo,-8.1694150683,111.3916200378,35.01.12.2007,3501,Kabupaten Pacitan
3501122008,Karangmulyo,-8.201551345,111.3828752408,35.01.12.2008,3501,Kabupaten Pacitan
3501122009,Gunungrejo,-8.2192193266,111.3765672985,35.01.12.2009,3501,Kabupaten Pacitan
3501122010,Sumberejo,-8.2589770788,111.3910407253,35.01.12.2010,3501,Kabupaten Pacitan
3502012001,Tugurejo,-8.0485809145,111.3698489742,35.02.01.2001,3502,Kabupaten Ponorogo
3502012002,Senepo,-8.0616453089,111.3863486655,35.02.01.2002,3502,Kabupaten Ponorogo
3502012003,Slahung,-8.0571490543,111.4148228948,35.02.01.2003,3502,Kabupaten Ponorogo
3502012004,Caluk,-8.0409118607,111.4007547488,35.02.01.2004,3502,Kabupaten Ponorogo
3502012005,Broto,-8.0290435158,111.4175475322,35.02.01.2005,3502,Kabupaten Ponorogo
3502012006,Menggare,-8.0164049544,111.4185075178,35.02.01.2006,3502,Kabupaten Ponorogo
3502012007,Kambeng,-8.01141115,111.4009489681,35.02.01.2007,3502,Kabupaten Ponorogo
3502012008,Wates,-8.0169345936,111.3761144456,35.02.01.2008,3502,Kabupaten Ponorogo
